"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn39928123","SubjectDemographics.xlsx","3","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","10879","3457238","1665764546251","3457238","1678933434280","syn38187184","https://www.synapse.org/#!Synapse:syn39928123.3","3a37e5e373e6421c43373c672460f03f"
"syn39918649","Subject52.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","139766","3457238","1665761459952","3457238","1665761459952","syn39918098","https://www.synapse.org/#!Synapse:syn39918649.1","c454c431ca03dbdd281a566c806a0c9a"
"syn39918611","Subject50.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","195025","3457238","1665761454917","3457238","1665761454917","syn39918098","https://www.synapse.org/#!Synapse:syn39918611.1","6a7304094a690781921b632ff7a7ee8f"
"syn39918672","Subject53.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","200139","3457238","1665761462298","3457238","1665761462298","syn39918098","https://www.synapse.org/#!Synapse:syn39918672.1","1f6bdfd2a2f36c64b3d84081536181b9"
"syn39918691","Subject54.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","209756","3457238","1665761464957","3457238","1665761464957","syn39918098","https://www.synapse.org/#!Synapse:syn39918691.1","f23982cb44253747b2cfeeade477f3c0"
"syn39918579","Subject48.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","213418","3457238","1665761449469","3457238","1665761449469","syn39918098","https://www.synapse.org/#!Synapse:syn39918579.1","b2f53bab9f010f7612bc9f665e963a17"
"syn39918597","Subject49.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","239266","3457238","1665761452105","3457238","1665761452105","syn39918098","https://www.synapse.org/#!Synapse:syn39918597.1","759c9c2f5816e017153adc92f34b4b1a"
"syn39918632","Subject51.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","280535","3457238","1665761457745","3457238","1665761457745","syn39918098","https://www.synapse.org/#!Synapse:syn39918632.1","b9f1e2872ffcd5cdac0dcef8669b0997"
"syn39918524","Subject46.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","295546","3457238","1665761439873","3457238","1665761439873","syn39918098","https://www.synapse.org/#!Synapse:syn39918524.1","81ccc0beb686cd5da2eb4f81214a6c83"
"syn39918487","Subject44.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","335902","3457238","1665761433528","3457238","1665761433528","syn39918098","https://www.synapse.org/#!Synapse:syn39918487.1","b90e9e811382c9a7efd7130c18632949"
